"priority_rank","ignore_rank","warehouse","category","priority_score","completed_stays","historical_long_stays","historical_long_stay_rate_pct","open_stays","open_long_stays","open_long_stay_rate_pct","max_open_dwell_hours"
1,NULL,"bijainagar, bijainagar, rajasthan","Prioritize for Clearing",71.11,1368,1240,90.64,75,75,100.00,105.07
2,NULL,"bhiwandi hub","Prioritize for Clearing",64.35,3572,1123,31.44,635,186,29.29,148.70
3,NULL,"cod processing centre ii","Prioritize for Clearing",59.96,8086,1569,19.40,1117,173,15.49,92.45
4,NULL,"del/lh1, gurgaon, haryana","Prioritize for Clearing",42.47,8342,1100,13.19,989,122,12.34,255.02
5,NULL,"ludhiana","Prioritize for Clearing",41.94,506,278,54.94,159,76,47.80,84.14
6,NULL,"jalpaiguri","Prioritize for Clearing",36.92,86,65,75.58,26,18,69.23,100.10
7,NULL,"guwahati","Prioritize for Clearing",32.37,88,68,77.27,39,19,48.72,108.41
8,NULL,"cochin","Prioritize for Clearing",30.17,79,41,51.90,27,17,62.96,98.40
9,NULL,"gurugram, haryana, in","Prioritize for Clearing",27.53,985,331,33.60,57,27,47.37,388.23
10,NULL,"uluberia","Prioritize for Clearing",26.66,226,125,55.31,28,13,46.43,73.14
11,NULL,"ernakulam","Prioritize for Clearing",25.64,296,174,58.78,98,26,26.53,98.40
12,NULL,"bhiwandi/lh1, bhiwandi, maharashtra","Prioritize for Clearing",24.75,3513,962,27.38,277,33,11.91,88.04
13,NULL,"lucknow","Prioritize for Clearing",23.76,321,69,21.50,44,24,54.55,78.09
14,NULL,"cuttack","Prioritize for Clearing",22.95,100,66,66.00,23,7,30.43,79.10
15,NULL,"nadia","Prioritize for Clearing",22.80,293,84,28.67,39,19,48.72,175.39
16,NULL,"surm","Prioritize for Clearing",22.79,226,98,43.36,20,9,45.00,72.45
17,NULL,"raipur","Prioritize for Clearing",22.63,182,60,32.97,36,17,47.22,84.10
18,NULL,"del/lh3, gurgaon, haryana","Prioritize for Clearing",22.60,479,199,41.54,110,28,25.45,72.95
19,NULL,"gau/lh1, guwahati, assam","Prioritize for Clearing",21.85,423,21,4.96,25,17,68.00,181.27
20,NULL,"agra","Prioritize for Clearing",19.69,93,42,45.16,20,7,35.00,179.85
21,NULL,"aslali warehouse","Prioritize for Clearing",18.71,3787,376,9.93,355,46,12.96,67.97
22,NULL,"kona warehouse","Prioritize for Clearing",18.39,302,131,43.38,51,12,23.53,95.08
23,NULL,"jhajjhar","Prioritize for Clearing",17.85,480,229,47.71,63,10,15.87,67.07
24,NULL,"mulm","Prioritize for Clearing",17.54,1805,808,44.76,13,4,30.77,56.47
25,NULL,"ahmedabad","Prioritize for Clearing",17.44,920,139,15.11,81,25,30.86,227.69
26,NULL,"ranchi","Prioritize for Clearing",15.38,87,29,33.33,21,6,28.57,75.92
27,NULL,"pune - pnq","Prioritize for Clearing",14.79,176,23,13.07,298,40,13.42,83.63
28,NULL,"ccuh","Prioritize for Clearing",14.02,1855,67,3.61,183,36,19.67,250.44
29,NULL,"gurgaon","Prioritize for Clearing",13.78,644,156,24.22,89,15,16.85,81.90
30,NULL,"taoru, haryana, in","Prioritize for Clearing",13.55,304,67,22.04,25,7,28.00,70.50
31,NULL,"farukhnagar","Prioritize for Clearing",13.40,641,53,8.27,31,11,35.48,402.11
32,NULL,"gurugram - ggn","Prioritize for Clearing",13.06,136,63,46.32,59,5,8.47,147.87
33,NULL,"ixch","Prioritize for Clearing",12.97,865,31,3.58,82,23,28.05,160.75
34,NULL,"bengaluru","Prioritize for Clearing",12.91,671,115,17.14,30,8,26.67,244.46
35,NULL,"patna","Prioritize for Clearing",12.15,52,27,51.92,13,7,53.85,77.22
36,NULL,"rkt/pc, rajkot, gujarat","Prioritize for Clearing",12.10,1693,175,10.34,235,26,11.06,100.85
37,NULL,"surat","Prioritize for Clearing",11.90,2107,170,8.07,94,18,19.15,224.67
38,NULL,"koramangala","Prioritize for Clearing",11.72,3829,793,20.71,4,0,0.00,37.52
39,NULL,"surat/lh1, surat, gujarat","Prioritize for Clearing",11.70,1865,176,9.44,227,25,11.01,93.06
40,NULL,"idr/msr, indore, madhya pradesh","Prioritize for Clearing",11.68,26,15,57.69,0,0,0.00,0.00
41,NULL,"bangalore","Prioritize for Clearing",11.65,379,65,17.15,34,8,23.53,93.99
42,NULL,"bhiwandi, maharashtra, in","Prioritize for Clearing",11.32,595,144,24.20,31,5,16.13,78.59
43,NULL,"coimbatore","Prioritize for Clearing",10.90,636,142,22.33,49,7,14.29,74.41
44,NULL,"jai/lh1, jaipur, rajasthan","Prioritize for Clearing",10.62,2040,150,7.35,117,18,15.38,67.49
45,NULL,"cokh","Prioritize for Clearing",10.51,688,40,5.81,32,9,28.13,253.89
46,NULL,"hyderabad","Prioritize for Clearing",9.83,663,138,20.81,76,8,10.53,210.90
47,NULL,"jaipur","Prioritize for Clearing",9.69,265,70,26.42,47,5,10.64,68.50
48,NULL,"pnq/lh1, pune, maharashtra","Prioritize for Clearing",9.39,2531,538,21.26,45,0,0.00,43.84
49,NULL,"hmng","Prioritize for Clearing",8.93,111,11,9.91,27,6,22.22,347.54
50,NULL,"dedh","Prioritize for Clearing",8.63,45,19,42.22,0,0,0.00,0.00
51,NULL,"saharanpur, saharanpur, uttar pradesh","Prioritize for Clearing",8.57,26,11,42.31,7,0,0.00,33.43
52,NULL,"parrys","Prioritize for Clearing",8.53,209,81,38.76,1,0,0.00,15.22
53,NULL,"nagpur, maharashtra, in","Prioritize for Clearing",8.21,91,33,36.26,12,3,25.00,53.12
53,NULL,"knde","Prioritize for Clearing",8.21,549,61,11.11,22,4,18.18,81.59
